343088,0.41,0.3,232.8888883,121793,360,345599,3.98,133,80.823242
196988,0.25,0.42,201.0582006,68197,106,212355,5.48,67,61.197266
200985,0.25,0.37,213.3333328,69023,106,212676,5.43,67,61.197266
194817,0.24,0.41,222.2222217,67052,106,209976,5.39,67,61.874023
188511,0.24,0.42,220.2898545,66449,106,196145,5.55,67,61.874023
250149,0.31,0.69,218.3574874,90382,190,316506,5.63,121,65.257812
197437,0.24,0.43,224.6913575,70431,106,204527,5.47,67,65.257812
250149,0.31,0.69,218.3574874,90382,190,316506,5.63,121,65.257812
246834,0.3,0.67,203.3333328,90680,190,293902,5.71,121,67.964844
248051,0.3,0.49,197.9797975,90041,190,292768,5.18,121,64.581055
326114,0.34,0.52,194.2028981,124649,64,241771,4.8,32,84.883789
207722,0.23,0.37,199.999999,77974,32,146132,4.86,16,69.318359
157565,0.19,0.71,206.837606,62430,10,124335,4.97,5,64.581055
183198,0.23,0.64,202.7777773,72813,10,162161,5.04,5,68.641602
166606,0.21,0.54,201.0582006,65473,10,139504,5.05,5,66.611328
126518,0.16,0.23,259.649122,49623,0,78842,5.06,0,63.227539
167906,0.19,0.42,245.4545448,67465,9,116919,4.72,2,65.93457
98037,0.14,0.16,248.1481475,34880,30,47882,5.09,19,57.136719
85143,0.13,0.2,252.7777771,30940,26,45962,5.73,17,59.166992
183132,0.25,0.72,205.3333328,66536,2,212540,6.55,1,63.904297
320652,0.36,0.26,185.5072459,124791,6,315824,4.4,3,64.581055
136864,0.18,0.2,229.1666661,51604,2,95068,4.93,1,58.490234
115812,0.16,0.24,235.2941171,41621,8,87291,5.68,4,62.550781
86943,0.13,0.23,270.1754379,31446,6,47452,5.91,3,60.520508
299298,0.36,0.64,182.7160489,106626,8,360309,5.73,4,67.964844
137794,0.2,0.47,211.1111106,49052,6,134951,6.36,3,63.904297
110220,0.16,0.19,243.589743,40489,6,66871,5.22,3,62.550781
205737,0.26,0.28,179.999999,71511,216,159537,4.72,167,65.93457
136588,0.19,0.25,236.1111105,46462,30,107415,5.43,17,59.166992
149063,0.19,0.25,215.555555,49772,38,125145,5.26,21,58.490234
223843,0.28,0.45,215.8148143,75236,78,232632,5.41,44,66.611328
327259,0.43,0.16,229.3333327,100760,250,310014,4.02,1,76.762695
244862,0.32,0.15,228.0193231,77703,166,214849,4.14,1,72.025391
256517,0.34,0.15,232.4786319,80630,178,228238,4.12,1,72.702148
268473,0.35,0.15,228.1481476,84293,190,242140,4.1,1,73.378906
279612,0.37,0.15,227.1604933,87555,202,254951,4.08,1,75.40918
303860,0.4,0.16,230.3030297,93905,226,282941,4.04,1,77.439453
315643,0.42,0.16,228.2828277,97640,238,296670,4.03,1,79.469727
339338,0.45,0.16,231.3725484,104941,262,324045,4,1,82.853516
363038,0.48,0.17,228.1481476,112181,286,351425,3.98,1,86.237305
374539,0.49,0.17,229.3333328,114791,298,364638,3.97,1,87.59082
386668,0.51,0.17,232.4786319,118028,310,378735,3.96,1,90.297852
399941,0.52,0.19,228.1481476,122163,322,393742,3.96,1,91.651367
411835,0.54,0.2,229.9516902,125473,334,407582,3.95,1,94.358398
423607,0.55,0.2,231.9999994,128629,346,421082,3.94,1,95.711914
435600,0.57,0.2,232.3232317,131861,358,435027,3.93,1,102.479492
443889,0.57,0.26,232.0987649,134034,370,445050,3.92,1,100.449219
117606,0.17,0.21,269.4444438,39143,16,80193,5.37,8,58.490234
147539,0.21,0.97,156.2499996,47554,20,114166,5.39,10,67.288086
78274,0.12,0.16,189.3719802,28303,2,45962,5.66,1,57.136719
122866,0.18,0.21,203.3333328,44042,4,83962,5.21,2,59.84375
92199,0.13,0.14,285.714285,32806,4,45962,5.15,2,57.136719
86625,0.13,0.14,275.7575751,31175,2,45962,5.25,1,57.813477
418456,0.48,0.89,166.0818709,161276,12,319136,4.89,6,104.509766
80820,0.12,0.16,285.3333326,29286,2,45962,5.58,1,59.166992
420250,0.54,0.43,202.2222217,144674,16,406312,4.52,8,72.025391
114844,0.18,0.19,218.8034183,39823,2,72038,5.13,1,59.84375
98039,0.15,0.14,284.2105256,32800,0,46783,4.96,0,57.813477
220316,0.27,0.38,215.9999995,70116,54,222265,5.12,25,61.874023
153564,0.21,0.3,233.3333328,51459,50,135087,5.43,23,61.197266
191267,0.25,0.52,219.7530859,63797,90,207072,5.8,41,66.611328
353149,0.42,0.31,218.3574874,113756,596,344462,3.92,301,71.348633
84554,0.13,0.18,264.1025634,30119,98,45962,5.64,98,56.459961
195134,0.24,0.37,174.9999996,74110,4,124512,4.93,2,67.964844
302653,0.35,0.63,153.623188,116210,8,217941,4.93,4,80.146484
418456,0.48,0.89,166.0818709,161276,12,319136,4.89,6,104.509766
166692,0.22,0.19,215.9999995,58669,4,121068,4.72,2,63.227539
245660,0.32,0.28,217.7777772,84060,8,210944,4.64,4,67.964844
332950,0.43,0.35,203.5087714,114470,12,308624,4.57,6,71.348633
420250,0.54,0.43,202.2222217,144674,16,406312,4.52,8,73.378906
503627,0.62,0.66,192.1568623,163243,20,499919,4.49,10,75.40918
590241,0.72,0.76,186.3247859,177086,24,596889,4.47,12,80.146484
166692,0.22,0.19,215.9999995,58669,4,121068,4.72,2,63.227539
192941,0.27,0.24,207.8431367,63558,6,164835,4.75,3,67.288086
265051,0.35,0.32,193.7777773,92425,8,237942,4.59,4,70.671875
279034,0.4,0.31,201.7094012,92871,10,266752,4.62,5,66.611328
355114,0.49,0.36,195.0617279,120422,12,356206,4.49,6,69.318359
375924,0.53,0.41,185.8585854,125821,14,382630,4.51,7,68.641602
108115,0.15,0.29,247.2222216,40830,8,67141,5.36,4,61.197266
120076,0.16,0.27,249.2753617,46302,8,85722,5.36,4,63.227539
169776,0.19,0.4,239.3939387,68921,8,159758,5.33,4,65.257812
190242,0.23,0.38,226.9005842,78879,8,195100,5.26,4,74.732422
286038,0.32,0.59,153.9682536,123366,8,343166,5.07,4,88.944336
